file,line,column,type,code,message,docs,severity,link
modules/approvals/class-approval.php,107,18,ERROR,PluginCheck.Security.DirectDB.UnescapedDBParameter,"Unescaped parameter table() . "" WHERE project_id = %d ORDER BY created_at DESC"" used in $wpdb->get_results()",,5,https://clientflow.wpclientflow.co.uk/wp-admin/plugin-editor.php?plugin=clientflow%2Fclientflow.php&file=clientflow%2Fmodules%2Fapprovals%2Fclass-approval.php&line=107
modules/approvals/class-approval.php,109,24,ERROR,WordPress.DB.PreparedSQL.NotPrepared,"Use placeholders and $wpdb->prepare(); found self",,5,https://clientflow.wpclientflow.co.uk/wp-admin/plugin-editor.php?plugin=clientflow%2Fclientflow.php&file=clientflow%2Fmodules%2Fapprovals%2Fclass-approval.php&line=109
modules/approvals/class-approval.php,109,30,ERROR,WordPress.DB.PreparedSQL.NotPrepared,"Use placeholders and $wpdb->prepare(); found table",,5,https://clientflow.wpclientflow.co.uk/wp-admin/plugin-editor.php?plugin=clientflow%2Fclientflow.php&file=clientflow%2Fmodules%2Fapprovals%2Fclass-approval.php&line=109
modules/approvals/class-approval.php,129,16,WARNING,WordPress.DB.DirectDatabaseQuery.DirectQuery,"Use of a direct database call is discouraged.",,5,https://clientflow.wpclientflow.co.uk/wp-admin/plugin-editor.php?plugin=clientflow%2Fclientflow.php&file=clientflow%2Fmodules%2Fapprovals%2Fclass-approval.php&line=129
modules/approvals/class-approval.php,129,16,WARNING,WordPress.DB.DirectDatabaseQuery.NoCaching,"Direct database call without caching detected. Consider using wp_cache_get() / wp_cache_set() or wp_cache_delete().",,5,https://clientflow.wpclientflow.co.uk/wp-admin/plugin-editor.php?plugin=clientflow%2Fclientflow.php&file=clientflow%2Fmodules%2Fapprovals%2Fclass-approval.php&line=129
modules/approvals/class-approval.php,129,17,ERROR,PluginCheck.Security.DirectDB.UnescapedDBParameter,"Unescaped parameter table() . "" a\n\t\t\t\t INNER JOIN {$wpdb->prefix}clientflow_projects p ON a.project_id = p.id\n\t\t\t\t WHERE a.id = %d AND p.owner_id = %d"" used in $wpdb->get_row()",,5,https://clientflow.wpclientflow.co.uk/wp-admin/plugin-editor.php?plugin=clientflow%2Fclientflow.php&file=clientflow%2Fmodules%2Fapprovals%2Fclass-approval.php&line=129
modules/approvals/class-approval.php,131,26,ERROR,WordPress.DB.PreparedSQL.NotPrepared,"Use placeholders and $wpdb->prepare(); found self",,5,https://clientflow.wpclientflow.co.uk/wp-admin/plugin-editor.php?plugin=clientflow%2Fclientflow.php&file=clientflow%2Fmodules%2Fapprovals%2Fclass-approval.php&line=131
modules/approvals/class-approval.php,131,32,ERROR,WordPress.DB.PreparedSQL.NotPrepared,"Use placeholders and $wpdb->prepare(); found table",,5,https://clientflow.wpclientflow.co.uk/wp-admin/plugin-editor.php?plugin=clientflow%2Fclientflow.php&file=clientflow%2Fmodules%2Fapprovals%2Fclass-approval.php&line=131
modules/approvals/class-approval.php,162,17,WARNING,WordPress.DB.DirectDatabaseQuery.DirectQuery,"Use of a direct database call is discouraged.",,5,https://clientflow.wpclientflow.co.uk/wp-admin/plugin-editor.php?plugin=clientflow%2Fclientflow.php&file=clientflow%2Fmodules%2Fapprovals%2Fclass-approval.php&line=162
modules/approvals/class-approval.php,162,17,WARNING,WordPress.DB.DirectDatabaseQuery.NoCaching,"Direct database call without caching detected. Consider using wp_cache_get() / wp_cache_set() or wp_cache_delete().",,5,https://clientflow.wpclientflow.co.uk/wp-admin/plugin-editor.php?plugin=clientflow%2Fclientflow.php&file=clientflow%2Fmodules%2Fapprovals%2Fclass-approval.php&line=162
modules/approvals/class-approval.php,162,18,ERROR,PluginCheck.Security.DirectDB.UnescapedDBParameter,"Unescaped parameter table() . "" WHERE project_id = %d ORDER BY created_at DESC"" used in $wpdb->get_results()",,5,https://clientflow.wpclientflow.co.uk/wp-admin/plugin-editor.php?plugin=clientflow%2Fclientflow.php&file=clientflow%2Fmodules%2Fapprovals%2Fclass-approval.php&line=162
modules/approvals/class-approval.php,164,24,ERROR,WordPress.DB.PreparedSQL.NotPrepared,"Use placeholders and $wpdb->prepare(); found self",,5,https://clientflow.wpclientflow.co.uk/wp-admin/plugin-editor.php?plugin=clientflow%2Fclientflow.php&file=clientflow%2Fmodules%2Fapprovals%2Fclass-approval.php&line=164
